Morne Garien		19.46667	-71.93333													
Riviere de l' Artibonite		19.23808	-72.78041													
Massif de Terre Neuve		19.66667	-72.83333													
Riviere Poueque		19.2	-72.18333													
Massifs du Nord		19.5	-72.25													
Los Pozos		19.15	-71.78333													
Plaine de L'Arbre		19.66667	-73													
Riviere Hondo		19.03333	-71.86667													
Saut d'Eau		18.8	-72.16667													
Sources Chaudes		18.48333	-74.26667													
Eaux de Baynes		19.65	-72.98333													
Plaine de l'Artibonite		19.16667	-72.66667													
Riviere Amazones		18.25	-72.93333													
Zumy		18.28333	-72.33333													
Morne Zoulous		19.66667	-72.46667													
Zoulien		18.43583	-72.20722													
Zorazo		18.43333	-72.3													
Riviere Zoranger		18.2	-72.81667													
Morne Zoranger		18.93333	-72.5													
Zoranger		19.68333	-72.9													
Zoranger		19.03333	-72.31667													
Zoranger		18.88333	-73.18333													
Zoranger		18.76667	-72.26667													
Zoranger		18.71667	-71.86667													
Zoranger		18.21667	-72.81667													
Zoranger		19.68333	-72.91667													
Zoracon		19.06667	-71.81667													
Riviere Zombi		19.9	-72.63333													
Ravine Zombi		18.11667	-71.83333													
Morne Zombi		18.45	-72.31667													
Zombi		19.56667	-72.86667													
Zombi		18.28333	-73.58333													
Zombi		18.26667	-73.71667													
Zoizeau Laine		19.81667	-72.5													
Zo Boeuf		19.51667	-72.83333													
Zobodo		18.26778	-72.61278													
Riviere Zile Blanche		18.58333	-74.21667													
Zigue		19.75	-72.6													
Zigne		19.38333	-72.03333													
Zidor		19.3	-72.35													
Riviere Zicap		19.55	-71.83333													
Zetrois		18.61667	-73.7													
Morne Zetan		18.93333	-72.1													
Lagon Zerine		19.21667	-72.6													
Morne Zerbe Guinee		18.93333	-72.2													
Zerbe Fine		18.23333	-71.93333													
Zerbe Boule		19.81667	-72.88333													
Zerbe Boule		19.83333	-72.85													
Ravine Zeppelin		19.51667	-72.61667													
Colline Zeppelin		19.5	-72.58333													
Zepingle		18.28333	-73.45													
Zepine		19.56667	-72.15													
Zephyr		18.56667	-72.28333													
Zephirin		19.63333	-72.26667													
Rancho de Las Mujeres		18.78333	-71.73333													
Morne Zephir		19.53333	-72.15													
Zephir		19.53333	-72.13333													
Zephir		18.78333	-71.73333													
Riviere Zepelin		18.96667	-72.41667													
Zemir		19.2	-72.41667													
Zemi		18.46667	-74.05													
Morne Zebre Rouge		18.7	-72.06667													
Zebre a Fleche		19.87306	-73.10278													
Zeb Guinin		19.41667	-72.16667													
Zeb Fine		18.24083	-72.28444													
Zeb a Fleche		19.81667	-72.93333													
Morne la Zanta		19.33333	-72.36667													
Morne Zanglais		18.26667	-73.46667													
Zanglais		18.26667	-73.45													
Zamor		19.58333	-72.21667													
Zaire		19.48333	-72.2													
Zabricet		19.88333	-72.58333													
Zabotte		18.43333	-74.36667													
Zabot		18.33333	-72.93333													
Morne Zaboca		18.38333	-72.25													
Zaboca		19.01667	-72.15													
Zabo		18.18333	-72.9													
Zabethe		18.95889	-72.51694													
Yvra		18.95472	-72.66111													
Yvon		18.38333	-73.06667													
Yousse		19.03333	-72.66667													
Etang You		18.35	-73.26667													
Yon		19.46667	-72.65													
Yombe		18.25	-72.2													
Ravine Yolo		19.28333	-72.33333													
Yoke		18.26667	-72.81667													
Yocelle		19.53333	-72.18333													
Yocan		19.15	-72.68333													
Yobec		19.36667	-72.45													
Ylain		18.81667	-72.03333													
Yilier		18.45	-73.3													
Yersieres		18.28333	-73.75													
Pointe d'Yeague		19.78333	-72.35													
Yayou		19.38333	-72.25													
Yaya		18.61667	-74.16667													
Yannais		19.45	-72.48333													
Morne la Yaille		18.93333	-71.98333													
Woreau		18.16667	-72.76667													
Williamson		18.86667	-72.58333													
Williamson		18.85	-72.58333													
Will		18.85361	-71.74222													
Wilfrid		18.25	-72.46667													
